|Node|VRF|Process_ID|Area|Area_Type|Active_Interfaces|Passive_Interfaces
0|r6|default|1|0|NONE|['Ethernet0/0', 'Ethernet0/1']|['Loopback0']
1|r4|default|1|1|NONE|['Ethernet1/1', 'Ethernet1/2']|['Loopback0']
2|r8|default|1|0|NONE|['Ethernet0/2', 'Ethernet0/3']|['Loopback0']
3|r2|default|1|0|NONE|['Ethernet0/0', 'Ethernet0/1', 'Ethernet0/2', 'Ethernet0/3']|['Loopback0']
4|r10|default|1|2|STUB|['Tunnel100']|['Loopback0']
5|r7|default|1|0|NONE|['Ethernet0/0', 'Ethernet0/1']|['Loopback0']
6|r2|default|1|1|NONE|['Ethernet1/1', 'Ethernet1/2']|[]
7|r11|default|1|0|NONE|['Ethernet0/0', 'Ethernet0/3']|['Loopback0']
8|r1|default|1|1|NONE|['Ethernet1/0', 'Ethernet1/1']|[]
9|r8|default|1|2|STUB|['Tunnel100']|[]
10|r17|default|1|4|NONE|['Loopback0']|[]
11|r9|default|1|2|STUB|['Tunnel100']|['Loopback0']
12|r3|default|1|1|NONE|['Ethernet1/0', 'Ethernet1/1']|['Loopback0']
13|r18|default|1|4|NONE|['Loopback0']|[]
14|r12|default|1|3|NSSA|['Serial1/0']|[]
15|r16|default|1|4|NONE|['Loopback0']|[]
16|r12|default|1|0|NONE|['Ethernet0/0', 'Ethernet0/2']|['Loopback0']
17|r5|default|1|3|NSSA|['Ethernet0/0', 'Ethernet0/3']|[]
18|r11|default|1|3|NSSA|['Ethernet0/1']|[]
19|r14|default|1|4|NONE|['Loopback0']|[]
20|r15|default|1|4|NONE|['Loopback0']|[]
21|r5|default|1|0|NONE|['Ethernet0/2']|['Loopback0']
22|r13|default|1|3|NSSA|['Ethernet0/0', 'Ethernet0/1', 'Ethernet0/3', 'Serial1/0']|['Loopback0']
23|r1|default|1|0|NONE|['Ethernet0/0', 'Ethernet0/1', 'Ethernet0/2', 'Ethernet0/3']|['Loopback0']
24|r20|default|1|0|NONE|['Ethernet0/2']|['Loopback0']
